,CVCL_1805,CVCL_1859,CVCL_1170,CVCL_2016,CVCL_2017,CVCL_2889,CVCL_2022,CVCL_1240,CVCL_1280,CVCL_0337,CVCL_0065,CVCL_1324,CVCL_2541,CVCL_2976,CVCL_4965,CVCL_2098,CVCL_1380,CVCL_H631,CVCL_H637,CVCL_0013,CVCL_2127,CVCL_3032,CVCL_2633,CVCL_2142,CVCL_8461,CVCL_0466,CVCL_8797,CVCL_1913,CVCL_5363,CVCL_RL84,CVCL_A673,CVCL_0538,CVCL_2209,CVCL_2210,CVCL_9973,CVCL_L177,CVCL_A1EY,CVCL_1797
5_8S_rRNA,6.53010586526075,6.37894399503166,6.93028427391444,6.30992700853864,6.13410008955304,7.19125653904227,6.90024424361254,6.14161426065621,7.25343605038045,7.32502911230323,6.03729517123212,6.95492466502283,6.44834995951477,7.0906975612148,6.94904013381376,8.00919155155727,5.86796142653166,8.4939057765409,7.73436568771161,6.54253843202554,6.5312160660086,7.38497455233112,7.76514607207818,7.24151206471348,7.1135338622267,7.01136810134208,6.34094606186604,5.87435373210728,7.71714863618067,6.58065401329514,7.76359921937571,7.05673383726351,8.22650566236765,6.08805275570594,7.21611782089812,7.79386367234661,7.12298587131341,7.73422800181473
7SK,3.46047260405533,0,3.20248654700389,4.50011857461315,3.58477438077026,0,2.69916901690923,0,0.643013962741503,3.9940381198089,2.99039884910944,0,0,0.626619794247016,3.91499156784709,4.98777435810392,0,4.78556946208693,3.40946425409691,0,0,0.748497739392974,3.47897489296905,0.706006615139846,2.57583981587964,6.28089852712421,3.77568079091498,4.33777330403327,2.2149965492598,3.53813096390548,3.95542312115989,3.28422928899575,7.25796328501732,2.98979261574064,0,2.52600455782608,5.35449244802448,4.25863433635593
A1BG,6.53267281531037,6.38157111579273,5.74381736996026,4.90187425148983,5.49889719570636,5.46321143545456,6.15985062255272,2.45539328034931,6.35559512552486,5.53752972542379,6.71577294062425,5.14140918358875,2.33631951506058,5.0105549829556,6.462928774898,6.32005198973045,5.77314935781859,5.62651939830055,5.97311760545199,6.09476019745867,1.75500400603062,5.26626527511654,6.39211934966858,2.50835738577158,1.87475931627671,5.11589490818819,4.71386978794553,6.3526510528987,4.52114775817471,4.47277218711525,2.82453601246038,5.56312634307759,5.45817709169685,6.28503116831197,5.97281845611956,5.9006529516151,4.75088077789168,1.99300867710244
A1BG-AS1,6.02196270639109,5.85956775423993,5.579982297844,5.75325743525946,5.86207383589271,5.65484106710821,5.90940098077171,1.07723478908636,6.11590298117855,6.00933217194822,6.24071806323212,5.36230556635553,1.3357717278824,5.21948483593475,5.9819071616466,5.67383467790266,5.60880967620086,5.93194286497876,5.99677445160013,5.49420367391822,0,6.28137063477759,5.96589670118143,4.4560719763105,1.1655541512358,5.33035907459209,5.55153662762501,5.85267551521176,5.43089118341447,4.73249860034996,4.52677966680613,5.49390464110468,5.86358765611635,6.39048684119151,5.92747454258594,5.95180935379945,5.25668720155864,0.644675239632673
A1CF,1.01589333591257,1.20156485205663,1.03492420623593,1.67973012210723,1.56625331623073,1.96010809358055,1.00555412371581,1.07723478908636,1.31011940475448,1.69368118226197,1.13117324875351,1.0428767390759,0.659750611894315,1.0088878409552,1.10063267689608,2.00471260331386,1.18912181515669,2.01833702882168,0.71520626087538,0.601072395013947,1.94295416133096,1.17175253274528,0.684145291670525,1.40552202806189,1.46129744793996,1.2967755433144,0.625907864086983,0.567016473669882,1.92125956981328,1.245382560777,0.797268897652052,1.32237680915723,2.04526578035153,0.56261833729206,1.49984260320783,1.57577422176506,0.639738712677953,1.03344647089214
A2M,0,0,0.645765404152348,0,0,0.701453793122258,0,0.677157051827712,1.31011940475448,0,0,0,1.05383099448878,1.28476642260749,0,0.727867394513782,2.15338716509582,0,0.71520626087538,0,0.78657728853081,1.17175253274528,1.594995735331,0,0.743768985694365,0,0,0,0.772841091016563,0,0,0,0,0,0,1.57577422176506,0,0
A2M-AS1,0,0,0.645765404152348,0,0,0.701453793122258,0,0,0.643013962741503,0,0,0,1.55545458662236,0.626619794247016,0,0,0.566108154388983,0,0,0,1.52335770533569,1.46821216097515,1.77671098464061,0.706006615139846,0,0,0,0,0,0,0,0,0,1.71047243072184,0,0,0.639738712677953,0
A2ML1,0.631758237536994,1.20156485205663,1.53251059325296,1.01001538216341,1.34586413188836,1.39872854750906,1.28097058378705,0.677157051827712,1.52797222734423,1.37615438596968,1.33475212581699,1.32336826658949,1.05383099448878,1.0088878409552,1.10063267689608,2.1394330176206,1.39762848973654,1.82787270973759,1.12791757106071,1.24479463084487,1.22134172412642,1.17175253274528,2.69118058528382,1.40552202806189,0.743768985694365,1.51365633018377,1.00791619762879,1.19058287613787,1.50357353951428,1.245382560777,1.53867485856765,1.54111035031141,1.57823770227418,1.71047243072184,1.28391212591596,1.57577422176506,1.02674773901923,1.3126759212496
A2MP1,0,0,0.645765404152348,0.627446183642535,0,0,0,0,1.8583634412881,0,0,0,2.33631951506058,1.0088878409552,0,1.14464309042199,1.71710625447755,0,0,0,1.94295416133096,4.11327089716955,1.77671098464061,1.40552202806189,0,0,0,0.567016473669882,1.50357353951428,0.80519461285501,0,0,0,0.56261833729206,0,0,0,0
A4GALT,1.01589333591257,1.41108988930552,1.03492420623593,1.50213918571381,2.14912451783431,1.10967250923102,1.49668189822566,1.76496541775204,1.8583634412881,3.61780365929231,1.33475212581699,1.32336826658949,2.02024461712358,1.82899865349354,1.38856701110438,6.61783159780374,1.39762848973654,7.4710443241991,1.64450258696425,0.601072395013947,1.52335770533569,0.748497739392974,1.594995735331,1.11572171433856,0,1.01944503179226,1.28366027065918,1.71882947424429,6.72698421859026,0.80519461285501,1.23516388975679,1.04200180881684,1.759237884836,0.56261833729206,0.626069935904633,4.62472496360764,0,0.644675239632673
